"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 10 19:57:22 CST 2022","Thu Nov 10 19:57:25 CST 2022","3092","testcase_api","test_079_web_socket","TestMoatOrgFullTree","","","昭通web_socket心跳测试",""
"passed","Thu Nov 10 19:56:09 CST 2022","Thu Nov 10 19:56:10 CST 2022","1509","testcase_api","test_009_emergcase_uploads","TestEmergcaseUploads","","","指挥中心应急事件上报--镇街",""
"passed","Thu Nov 10 19:56:21 CST 2022","Thu Nov 10 19:56:21 CST 2022","351","testcase_api","test_015_beacon_alert_count_by_type","TestBeaconAlertCountByType","","","税收监管--某个具体的矿区告警分类",""
"passed","Thu Nov 10 19:56:46 CST 2022","Thu Nov 10 19:56:46 CST 2022","367","testcase_api","test_024_boss_ticket_weight_by_goods","TestBossTicketWeightByGoods","","","税收监管--产矿销售种类占比--镇街",""
"passed","Thu Nov 10 19:57:13 CST 2022","Thu Nov 10 19:57:13 CST 2022","205","testcase_api","test_063_earlywarning_list","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:54:00 CST 2022","Thu Nov 10 19:54:01 CST 2022","753","testcase_api","test_007_boss_belt_data_count_by_point","TestBossBeltDataCountByPoint","","","指挥中心顶部数据加工量详情--区县",""
"passed","Thu Nov 10 19:56:04 CST 2022","Thu Nov 10 19:56:06 CST 2022","2078","testcase_api","test_008_boss_ticket_count_by_point","TestBossTicketCountByPoint","","","税收监管今年累计销售量列表--市级",""
"passed","Thu Nov 10 19:56:21 CST 2022","Thu Nov 10 19:56:23 CST 2022","1152","testcase_api","test_016_boss_tickets","TestBossTickets","","","税收监管--右侧电子联单",""
"passed","Thu Nov 10 19:56:55 CST 2022","Thu Nov 10 19:57:00 CST 2022","4323","testcase_api","test_043_boss_belt_data","TestMoatOrgFullTree","","","矿山数据统计--生产数据--详情",""
"passed","Thu Nov 10 19:57:03 CST 2022","Thu Nov 10 19:57:04 CST 2022","189","testcase_api","test_055_boss_device_lanes","TestMoatOrgFullTree","","","销售数据管理--联单审核区县、矿区树",""
"passed","Thu Nov 10 19:57:21 CST 2022","Thu Nov 10 19:57:21 CST 2022","272","testcase_api","test_077_iot_ipc_page","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:53:50 CST 2022","Thu Nov 10 19:53:51 CST 2022","397","testcase_api","test_004_beacon_alert_list","TestBeaconAlertList","","","指挥中心左部告警信息--区县",""
"passed","Thu Nov 10 19:56:34 CST 2022","Thu Nov 10 19:56:36 CST 2022","2131","testcase_api","test_021_boss_ticket_top_count","TestBossTicketTopCount","","","税收监管--顶部看板--镇街",""
"passed","Thu Nov 10 19:57:04 CST 2022","Thu Nov 10 19:57:07 CST 2022","3554","testcase_api","test_056_boss_weight_data_timeline","TestMoatOrgFullTree","","","销售数据管理--某个实际的矿区审核数据",""
"passed","Thu Nov 10 19:57:14 CST 2022","Thu Nov 10 19:57:15 CST 2022","1597","testcase_api","test_065_beacon_event_list","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:51 CST 2022","Thu Nov 10 19:56:51 CST 2022","203","testcase_api","test_030_moat_org_general_tree","TestMoatOrgGeneralTree","","","组织管理--部门与成员--组织",""
"passed","Thu Nov 10 19:56:53 CST 2022","Thu Nov 10 19:56:54 CST 2022","298","testcase_api","test_039_moat_permission_tree","TestMoatOrgFullTree","","","组织管理--角色管理--权限树",""
"passed","Thu Nov 10 19:56:52 CST 2022","Thu Nov 10 19:56:52 CST 2022","216","testcase_api","test_033_moat_user_page","TestMoatUserPage","","","组织管理--部门与成员--具体职位下的所有用户",""
"passed","Thu Nov 10 19:56:18 CST 2022","Thu Nov 10 19:56:19 CST 2022","637","testcase_api","test_014_boss_devices","TestBossDevices","","","驾驶舱矿区实景--销售量",""
"passed","Thu Nov 10 19:56:52 CST 2022","Thu Nov 10 19:56:52 CST 2022","198","testcase_api","test_035_moat_org_position_details","TestMoatOrgPositionDetails","","","组织管理--部门与成员--职位详情",""
"passed","Thu Nov 10 19:57:27 CST 2022","Thu Nov 10 19:57:28 CST 2022","241","testcase_api","test_083_boss_car_inout_data_weight_summary_data_export","TestMoatOrgFullTree","","","矿山数据统计--加工销售数据统计列表筛选--销售量导出",""
"passed","Thu Nov 10 19:57:13 CST 2022","Thu Nov 10 19:57:13 CST 2022","264","testcase_api","test_061_bda_detail","TestMoatOrgFullTree","","","销售数据管理--加工量--点击审核旗帜",""
"failed","Thu Nov 10 19:56:50 CST 2022","Thu Nov 10 19:56:50 CST 2022","410","testcase_api","test_029_bi_board_list","TestGbserverTree","","","大屏配置--web端",""
"passed","Thu Nov 10 19:53:53 CST 2022","Thu Nov 10 19:53:54 CST 2022","742","testcase_api","test_004_beacon_alert_list","TestBeaconAlertList","","","税收监管左部告警信息--区县",""
"passed","Thu Nov 10 19:56:28 CST 2022","Thu Nov 10 19:56:28 CST 2022","311","testcase_api","test_019_beacon_alert_statistics","TestBeaconAlertStatistics","","","税收监管--近7日告警提醒--市级",""
"passed","Thu Nov 10 19:57:19 CST 2022","Thu Nov 10 19:57:19 CST 2022","195","testcase_api","test_074_mib_central_control_page1","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:44 CST 2022","Thu Nov 10 19:56:44 CST 2022","404","testcase_api","test_023_boss_ticket_produce_sale_rate","TestBossTicketProduceSaleRate","","","税收监管--矿产加工销售占比--区县",""
"passed","Thu Nov 10 19:57:02 CST 2022","Thu Nov 10 19:57:02 CST 2022","216","testcase_api","test_052_boss_goods_prices","TestMoatOrgFullTree","","","销售数据管理--非煤矿价格及税收管理--默认列表",""
"passed","Thu Nov 10 19:57:01 CST 2022","Thu Nov 10 19:57:01 CST 2022","207","testcase_api","test_049_boss_companys","TestMoatOrgFullTree","","","企业管理--矿企管理--关键字及区域搜索",""
"passed","Thu Nov 10 19:57:02 CST 2022","Thu Nov 10 19:57:02 CST 2022","205","testcase_api","test_053_boss_goods_price","TestMoatOrgFullTree","","","销售数据管理--非煤矿价格及税收管理--修改详情",""
"passed","Thu Nov 10 19:53:54 CST 2022","Thu Nov 10 19:53:54 CST 2022","410","testcase_api","test_004_beacon_alert_list","TestBeaconAlertList","","","税收监管左部告警信息--镇街",""
"passed","Thu Nov 10 19:57:17 CST 2022","Thu Nov 10 19:57:18 CST 2022","215","testcase_api","test_072_iot_belt_page","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:57:16 CST 2022","Thu Nov 10 19:57:17 CST 2022","1006","testcase_api","test_068_emerg_date_data_list","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:28 CST 2022","Thu Nov 10 19:56:28 CST 2022","189","testcase_api","test_018_mib_out_of_control","TestMibOutOfControl","","","税收监管--各矿区设备在离线情况--镇街",""
"passed","Thu Nov 10 19:57:27 CST 2022","Thu Nov 10 19:57:27 CST 2022","290","testcase_api","test_083_boss_car_inout_data_weight_summary_data_export","TestMoatOrgFullTree","","","矿山数据统计--加工销售数据--销售量导出",""
"passed","Thu Nov 10 19:56:24 CST 2022","Thu Nov 10 19:56:25 CST 2022","1159","testcase_api","test_016_boss_tickets","TestBossTickets","","","矿山数据统计--销售数据--列表",""
"passed","Thu Nov 10 19:56:43 CST 2022","Thu Nov 10 19:56:44 CST 2022","695","testcase_api","test_023_boss_ticket_produce_sale_rate","TestBossTicketProduceSaleRate","","","税收监管--矿产加工销售占比--市级",""
"passed","Thu Nov 10 19:56:17 CST 2022","Thu Nov 10 19:56:17 CST 2022","210","testcase_api","test_012_gbserver_device","TestGbserverDevice","","","驾驶舱矿区实景--破碎机(马真良为例)",""
"passed","Thu Nov 10 19:56:17 CST 2022","Thu Nov 10 19:56:17 CST 2022","345","testcase_api","test_012_gbserver_device","TestGbserverDevice","","","驾驶舱矿区实景--加工区监控(马真良为例)",""
"passed","Thu Nov 10 19:56:55 CST 2022","Thu Nov 10 19:56:55 CST 2022","788","testcase_api","test_042_boss_belt_datas","TestMoatOrgFullTree","","","矿山数据统计--生产数据--列表及关键字搜索",""
"passed","Thu Nov 10 19:57:10 CST 2022","Thu Nov 10 19:57:10 CST 2022","264","testcase_api","test_059_bda_list","TestMoatOrgFullTree","","","销售数据管理--审核的旗帜数据--审核的旗帜数据",""
"passed","Thu Nov 10 19:57:25 CST 2022","Thu Nov 10 19:57:25 CST 2022","288","testcase_api","test_080_boss_belt_data_belt_summary_data","TestMoatOrgFullTree","","","矿山数据统计--加工销售数据统计列表",""
"passed","Thu Nov 10 19:53:59 CST 2022","Thu Nov 10 19:54:00 CST 2022","210","testcase_api","test_006_boss_point_mines","TestBossPointMines","","","企业管理--矿区管理--矿区列表",""
"passed","Thu Nov 10 19:56:27 CST 2022","Thu Nov 10 19:56:27 CST 2022","260","testcase_api","test_017_moat_area_tree","TestMoatAreaTree","","","税收监管--行政单位树--区县",""
"passed","Thu Nov 10 19:56:32 CST 2022","Thu Nov 10 19:56:34 CST 2022","1887","testcase_api","test_021_boss_ticket_top_count","TestBossTicketTopCount","","","税收监管--顶部看板--区县",""
"passed","Thu Nov 10 19:56:28 CST 2022","Thu Nov 10 19:56:28 CST 2022","253","testcase_api","test_019_beacon_alert_statistics","TestBeaconAlertStatistics","","","税收监管--近7日告警提醒--区县",""
"passed","Thu Nov 10 19:56:45 CST 2022","Thu Nov 10 19:56:46 CST 2022","385","testcase_api","test_024_boss_ticket_weight_by_goods","TestBossTicketWeightByGoods","","","税收监管--产矿销售种类占比--区县",""
"passed","Thu Nov 10 19:53:52 CST 2022","Thu Nov 10 19:53:53 CST 2022","1081","testcase_api","test_004_beacon_alert_list","TestBeaconAlertList","","","税收监管左部告警信息--市级",""
"passed","Thu Nov 10 19:53:54 CST 2022","Thu Nov 10 19:53:55 CST 2022","404","testcase_api","test_004_beacon_alert_list","TestBeaconAlertList","","","告警管理--告警中心--联合筛选",""
"passed","Thu Nov 10 19:57:26 CST 2022","Thu Nov 10 19:57:26 CST 2022","560","testcase_api","test_081_boss_belt_data_belt_summary_data_export","TestMoatOrgFullTree","","","矿山数据统计--加工销售数据--加工量导出",""
"passed","Thu Nov 10 19:57:17 CST 2022","Thu Nov 10 19:57:17 CST 2022","185","testcase_api","test_069_emerg_date_data","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:29 CST 2022","Thu Nov 10 19:56:29 CST 2022","244","testcase_api","test_020_boss_point_select","TestBossPointSelect","","","税收监管--矿区选择--市级",""
"passed","Thu Nov 10 19:56:03 CST 2022","Thu Nov 10 19:56:04 CST 2022","363","testcase_api","test_008_boss_ticket_count_by_point","TestBossTicketCountByPoint","","","指挥中心顶部数据销售量详情--区县",""
"passed","Thu Nov 10 19:57:00 CST 2022","Thu Nov 10 19:57:00 CST 2022","204","testcase_api","test_044_boss_goods_select","TestMoatOrgFullTree","","","矿山数据统计--生产数据--详情",""
"passed","Thu Nov 10 19:56:17 CST 2022","Thu Nov 10 19:56:17 CST 2022","286","testcase_api","test_013_gbserver_video","TestGbserverVideo","","","驾驶舱矿区实景--播放视频",""
"passed","Thu Nov 10 19:56:49 CST 2022","Thu Nov 10 19:56:50 CST 2022","1002","testcase_api","test_028_gbserver_tree","TestGbserverTree","","","视频监控--视频监控树--模糊搜索",""
"passed","Thu Nov 10 19:56:54 CST 2022","Thu Nov 10 19:56:54 CST 2022","185","testcase_api","test_041_moat_role_details","TestMoatOrgFullTree","","","组织管理--角色管理--角色名称详情",""
"passed","Thu Nov 10 19:57:26 CST 2022","Thu Nov 10 19:57:27 CST 2022","277","testcase_api","test_082_boss_car_inout_data_weight_summary_data","TestMoatOrgFullTree","","","矿山数据统计--加工销售数据--销售量列表",""
"passed","Thu Nov 10 19:56:07 CST 2022","Thu Nov 10 19:56:08 CST 2022","1027","testcase_api","test_008_boss_ticket_count_by_point","TestBossTicketCountByPoint","","","税收监管今年累计销售量列表--镇街",""
"passed","Thu Nov 10 19:57:13 CST 2022","Thu Nov 10 19:57:14 CST 2022","202","testcase_api","test_064_earlywarning_details","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:57:00 CST 2022","Thu Nov 10 19:57:00 CST 2022","195","testcase_api","test_047_boss_car_inout_data","TestMoatOrgFullTree","","","矿山数据统计--销售数据核准--详情",""
"passed","Thu Nov 10 19:53:55 CST 2022","Thu Nov 10 19:53:59 CST 2022","4064","testcase_api","test_005_beacon_alert_detail","TestBeaconAlertDetail","","","指挥中心左部告警信息--详情",""
"passed","Thu Nov 10 19:57:01 CST 2022","Thu Nov 10 19:57:01 CST 2022","218","testcase_api","test_049_boss_companys","TestMoatOrgFullTree","","","企业管理--矿企管理--默认列表",""
"passed","Thu Nov 10 19:56:47 CST 2022","Thu Nov 10 19:56:47 CST 2022","211","testcase_api","test_027_emerg_weather_warn_list","TestEmergWeatherWarnList","","","指挥中心--预警提醒信息",""
"passed","Thu Nov 10 19:57:19 CST 2022","Thu Nov 10 19:57:20 CST 2022","248","testcase_api","test_075_mib_dev_stat","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:53 CST 2022","Thu Nov 10 19:56:53 CST 2022","196","testcase_api","test_037_moat_user","TestMoatOrgFullTree","","","组织管理--部门与成员--编辑成员--该成员信息",""
"passed","Thu Nov 10 19:57:16 CST 2022","Thu Nov 10 19:57:16 CST 2022","221","testcase_api","test_067_iot_zengshi_brake_page","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:53:44 CST 2022","Thu Nov 10 19:53:45 CST 2022","972","testcase_api","test_001_boss_ticket_top_count2","TestTopCount2","","","指挥中心顶部看板区县",""
"passed","Thu Nov 10 19:57:18 CST 2022","Thu Nov 10 19:57:18 CST 2022","465","testcase_api","test_073_iot_alert_belt_page","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:12 CST 2022","Thu Nov 10 19:56:16 CST 2022","3948","testcase_api","test_011_boss_point_mine","TestBossPointMine","","","驾驶舱矿区--基础信息(马真良)",""
"passed","Thu Nov 10 19:57:00 CST 2022","Thu Nov 10 19:57:00 CST 2022","204","testcase_api","test_045_boss_ticket","TestMoatOrgFullTree","","","矿山数据统计--生产数据--详情",""
"passed","Thu Nov 10 19:56:10 CST 2022","Thu Nov 10 19:56:10 CST 2022","250","testcase_api","test_010_emerg_dispatch_list","TestEmergDispatchList","","","指挥中心应急事件上报-市级",""
"passed","Thu Nov 10 19:56:21 CST 2022","Thu Nov 10 19:56:21 CST 2022","348","testcase_api","test_015_beacon_alert_count_by_type","TestBeaconAlertCountByType","","","指挥中心--某个具体的矿区告警分类",""
"passed","Thu Nov 10 19:56:04 CST 2022","Thu Nov 10 19:56:04 CST 2022","369","testcase_api","test_008_boss_ticket_count_by_point","TestBossTicketCountByPoint","","","指挥中心顶部数据销售量详情--镇街",""
"passed","Thu Nov 10 19:56:41 CST 2022","Thu Nov 10 19:56:43 CST 2022","1860","testcase_api","test_022_boss_ticket_tax_by_time","TestBossTicketTaxByTime","","","税收监管--顶部看板--镇街",""
"passed","Thu Nov 10 19:57:21 CST 2022","Thu Nov 10 19:57:22 CST 2022","348","testcase_api","test_078_iot_alert_ipc_page","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:57:08 CST 2022","Thu Nov 10 19:57:10 CST 2022","2309","testcase_api","test_059_bda_list","TestMoatOrgFullTree","","","销售数据管理--审核的旗帜数据--审核的旗帜数据",""
"passed","Thu Nov 10 19:57:02 CST 2022","Thu Nov 10 19:57:03 CST 2022","1304","testcase_api","test_054_boss_weight_data_point_tree","TestMoatOrgFullTree","","","销售数据管理--联单审核树",""
"passed","Thu Nov 10 19:57:25 CST 2022","Thu Nov 10 19:57:26 CST 2022","212","testcase_api","test_080_boss_belt_data_belt_summary_data","TestMoatOrgFullTree","","","矿山数据统计--加工销售数据统计列表筛选",""
